Date : 2022-11-07 18:00:12
Directory : /Users/Nils 1/Desktop/Contredanse/life-art
Total : 209 files,  23306 codes, 951 comments, 1443 blanks, all 25700 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| apps/halprin-web-app/public/images/ui/menu                                                                                 |          2 |          2 |          0 |          0 |          2 |
| apps/halprin-web-app/public/locales                                                                                        |          6 |        106 |          0 |          5 |        111 |
| apps/halprin-web-app/public/locales/en                                                                                     |          3 |         53 |          0 |          3 |         56 |
| apps/halprin-web-app/public/locales/fr                                                                                     |          3 |         53 |          0 |          2 |         55 |
| apps/halprin-web-app/src                                                                                                   |        103 |     19,190 |        250 |        852 |     20,292 |
| apps/halprin-web-app/src/backend                                                                                           |          1 |         17 |          0 |          3 |         20 |
| apps/halprin-web-app/src/backend/auth                                                                                      |          1 |         17 |          0 |          3 |         20 |
| apps/halprin-web-app/src/components                                                                                        |          4 |        526 |          0 |         19 |        545 |
| apps/halprin-web-app/src/components/layout                                                                                 |          3 |        483 |          0 |         16 |        499 |
| apps/halprin-web-app/src/components/layout/__tests__                                                                       |          1 |         13 |          0 |          2 |         15 |
| apps/halprin-web-app/src/config                                                                                            |          1 |         12 |          1 |          2 |         15 |
| apps/halprin-web-app/src/core                                                                                              |          7 |        329 |         13 |         32 |        374 |
| apps/halprin-web-app/src/core/config                                                                                       |          1 |          9 |          0 |          3 |         12 |
| apps/halprin-web-app/src/core/converter                                                                                    |          2 |        297 |          5 |         21 |        323 |
| apps/halprin-web-app/src/core/converter/__tests__                                                                          |          1 |         31 |          2 |          3 |         36 |
| apps/halprin-web-app/src/core/i18n                                                                                         |          2 |         15 |          8 |          6 |         29 |
| apps/halprin-web-app/src/core/types                                                                                        |          2 |          8 |          0 |          2 |         10 |
| apps/halprin-web-app/src/data                                                                                              |          6 |      9,581 |         72 |        318 |      9,971 |
| apps/halprin-web-app/src/data/dvd_legacy                                                                                   |          1 |      2,532 |         72 |        299 |      2,903 |
| apps/halprin-web-app/src/features                                                                                          |         57 |      7,902 |         25 |        348 |      8,275 |
| apps/halprin-web-app/src/features/auth                                                                                     |          5 |        330 |          0 |         26 |        356 |
| apps/halprin-web-app/src/features/auth/components                                                                          |          2 |        290 |          0 |         18 |        308 |
| apps/halprin-web-app/src/features/credits                                                                                  |          4 |        311 |          3 |         21 |        335 |
| apps/halprin-web-app/src/features/credits/repository                                                                       |          1 |         24 |          0 |          4 |         28 |
| apps/halprin-web-app/src/features/helpers                                                                                  |          6 |        275 |          1 |         23 |        299 |
| apps/halprin-web-app/src/features/helpers/components                                                                       |          4 |        190 |          0 |         15 |        205 |
| apps/halprin-web-app/src/features/home                                                                                     |          3 |        674 |         12 |         32 |        718 |
| apps/halprin-web-app/src/features/menu                                                                                     |          7 |      1,543 |          1 |         48 |      1,592 |
| apps/halprin-web-app/src/features/menu/embed                                                                               |          4 |        621 |          0 |         16 |        637 |
| apps/halprin-web-app/src/features/statics                                                                                  |          4 |        867 |          0 |         14 |        881 |
| apps/halprin-web-app/src/features/tag-index                                                                                |          9 |      1,742 |          6 |         75 |      1,823 |
| apps/halprin-web-app/src/features/tag-index/components                                                                     |          6 |      1,548 |          6 |         54 |      1,608 |
| apps/halprin-web-app/src/features/video                                                                                    |         19 |      2,160 |          2 |        109 |      2,271 |
| apps/halprin-web-app/src/features/video/components                                                                         |          8 |      1,471 |          1 |         65 |      1,537 |
| apps/halprin-web-app/src/features/video/repository                                                                         |          6 |        262 |          0 |         21 |        283 |
| apps/halprin-web-app/src/features/video/repository/__tests__                                                               |          1 |         63 |          0 |          4 |         67 |
| apps/halprin-web-app/src/features/video/utils                                                                              |          1 |         12 |          0 |          3 |         15 |
| apps/halprin-web-app/src/pages                                                                                             |         23 |        789 |        115 |        121 |      1,025 |
| apps/halprin-web-app/src/pages/about                                                                                       |          1 |         31 |          1 |          4 |         36 |
| apps/halprin-web-app/src/pages/api                                                                                         |          4 |        191 |         45 |         21 |        257 |
| apps/halprin-web-app/src/pages/api/auth                                                                                    |          1 |        109 |          2 |          7 |        118 |
| apps/halprin-web-app/src/pages/api/users                                                                                   |          1 |         17 |          0 |          4 |         21 |
| apps/halprin-web-app/src/pages/auth                                                                                        |          1 |         31 |          1 |          5 |         37 |
| apps/halprin-web-app/src/pages/bio                                                                                         |          1 |         31 |          1 |          4 |         36 |
| apps/halprin-web-app/src/pages/editor                                                                                      |          1 |         31 |          1 |          4 |         36 |
| apps/halprin-web-app/src/pages/menu                                                                                        |          1 |         31 |          1 |          4 |         36 |
| apps/halprin-web-app/src/pages/tag-index                                                                                   |          1 |         31 |          1 |          5 |         37 |
| apps/halprin-web-app/src/pages/tags                                                                                        |          1 |         39 |          1 |          7 |         47 |
| apps/halprin-web-app/src/pages/video                                                                                       |          5 |        182 |          5 |         24 |        211 |
| apps/halprin-web-app/src/pages/video/category                                                                              |          1 |         52 |          1 |          4 |         57 |
| apps/halprin-web-app/src/types.d                                                                                           |          3 |         20 |         24 |          5 |         49 |
| docs                                                                                                                       |          3 |         41 |          0 |         26 |         67 |
| docs/deploy                                                                                                                |          1 |         11 |          0 |          7 |         18 |
| docs/docker                                                                                                                |          1 |         24 |          0 |         12 |         36 |
| packages                                                                                                                   |         42 |      1,467 |         98 |        166 |      1,731 |
| packages/common                                                                                                            |         32 |        945 |         57 |        118 |      1,120 |
| packages/common/src                                                                                                        |         24 |        780 |         38 |        106 |        924 |
| packages/common/src/api                                                                                                    |          7 |        255 |         12 |         26 |        293 |
| packages/common/src/api/json-api                                                                                           |          7 |        255 |         12 |         26 |        293 |
| packages/common/src/api/json-api/__tests__                                                                                 |          2 |        123 |          0 |         11 |        134 |
| packages/common/src/component                                                                                              |          1 |         19 |          0 |          2 |         21 |
| packages/common/src/hooks                                                                                                  |          5 |        234 |         18 |         46 |        298 |
| packages/common/src/hooks/__tests__                                                                                        |          2 |        145 |         13 |         29 |        187 |
| packages/common/src/utils                                                                                                  |         10 |        267 |          8 |         30 |        305 |
| packages/common/src/utils/__tests__                                                                                        |          4 |        138 |          0 |         10 |        148 |
| packages/db-main                                                                                                           |         10 |        522 |         41 |         48 |        611 |
| packages/db-main/prisma                                                                                                    |          2 |        353 |          3 |         10 |        366 |
| packages/db-main/prisma/seeds                                                                                              |          1 |        298 |          1 |          5 |        304 |
| packages/db-main/prisma/seeds/poem                                                                                         |          1 |        298 |          1 |          5 |        304 |
| packages/db-main/src                                                                                                       |          2 |         35 |         15 |          5 |         55 |
| static                                                                                                                     |          1 |         10 |          0 |          1 |         11 |
| static/locales                                                                                                             |          1 |         10 |          0 |          1 |         11 |
| static/locales/en                                                                                                          |          1 |         10 |          0 |          1 |         11 |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                   | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/Nils 1/Desktop/Contredanse/life-art/.changeset/config.json                                                          | JSON               |         13 |          0 |          0 |         13 |
| /Users/Nils 1/Desktop/Contredanse/life-art/.changeset/rare-zoos-taste.md                                                   | Markdown           |          4 |          0 |          2 |          6 |
| /Users/Nils 1/Desktop/Contredanse/life-art/.changeset/three-drinks-explain.md                                              | Markdown           |          4 |          0 |          2 |          6 |
| /Users/Nils 1/Desktop/Contredanse/life-art/.codeclimate.yml                                                                | YAML               |         29 |          2 |          0 |         31 |
| /Users/Nils 1/Desktop/Contredanse/life-art/.dockerignore                                                                   | Ignore             |         20 |         10 |         14 |         44 |
| /Users/Nils 1/Desktop/Contredanse/life-art/.eslintrc.base.json                                                             | JSON               |         71 |          0 |          1 |         72 |
| /Users/Nils 1/Desktop/Contredanse/life-art/.github/workflows/ci-halprin-web-app.yml                                        | YAML               |         95 |         17 |         18 |        130 |
| /Users/Nils 1/Desktop/Contredanse/life-art/.github/workflows/ci-monorepo-integrity.yml                                     | YAML               |         51 |          2 |         13 |         66 |
| /Users/Nils 1/Desktop/Contredanse/life-art/.github/workflows/ci-packages.yml                                               | YAML               |         57 |          0 |         12 |         69 |
| /Users/Nils 1/Desktop/Contredanse/life-art/.github/workflows/release.yml                                                   | YAML               |         28 |          1 |          6 |         35 |
| /Users/Nils 1/Desktop/Contredanse/life-art/.gitpod.yml                                                                     | YAML               |          3 |          0 |          0 |          3 |
| /Users/Nils 1/Desktop/Contredanse/life-art/.ncurc.yml                                                                      | YAML               |          5 |          4 |          1 |         10 |
| /Users/Nils 1/Desktop/Contredanse/life-art/.prettierignore                                                                 | Ignore             |          4 |          0 |          1 |          5 |
| /Users/Nils 1/Desktop/Contredanse/life-art/.prettierrc.json                                                                | JSON               |         19 |          0 |          1 |         20 |
| /Users/Nils 1/Desktop/Contredanse/life-art/.yarn/plugins/@yarnpkg/plugin-interactive-tools.cjs                             | JavaScript         |        370 |        124 |         53 |        547 |
| /Users/Nils 1/Desktop/Contredanse/life-art/.yarn/plugins/@yarnpkg/plugin-workspace-tools.cjs                               | JavaScript         |          8 |         20 |          1 |         29 |
| /Users/Nils 1/Desktop/Contredanse/life-art/.yarn/releases/yarn-3.2.0.cjs                                                   | JavaScript         |        544 |        199 |         43 |        786 |
| /Users/Nils 1/Desktop/Contredanse/life-art/.yarnrc.yml                                                                     | YAML               |         17 |          0 |          7 |         24 |
| /Users/Nils 1/Desktop/Contredanse/life-art/CHANGELOG.md                                                                    | Markdown           |         15 |          0 |          4 |         19 |
| /Users/Nils 1/Desktop/Contredanse/life-art/CODE_OF_CONDUCT.md                                                              | Markdown           |         97 |          0 |         36 |        133 |
| /Users/Nils 1/Desktop/Contredanse/life-art/Dockerfile                                                                      | Docker             |         46 |         46 |         31 |        123 |
| /Users/Nils 1/Desktop/Contredanse/life-art/README.md                                                                       | Markdown           |        114 |          0 |         25 |        139 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/.env                                                       | Properties         |          4 |          4 |          6 |         14 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/.eslintrc.json                                             | JSON               |         50 |          0 |          1 |         51 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/.size-limit.js                                             | JavaScript         |         36 |          2 |          4 |         42 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/CHANGELOG.md                                               | Markdown           |          0 |          0 |          1 |          1 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/README.md                                                  | Markdown           |         96 |          0 |         30 |        126 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/babel.config.js                                            | JavaScript         |         17 |          4 |          3 |         24 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/config/jest/test-utils.tsx                                 | TypeScript React   |         10 |          7 |          5 |         22 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/jest.config.js                                             | JavaScript         |         33 |         17 |          4 |         54 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/lint-staged.config.js                                      | JavaScript         |          2 |          0 |          1 |          3 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/middleware/index.js                                        | JavaScript         |          6 |          0 |          3 |          9 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/middleware/mongodb.js                                      | JavaScript         |         22 |          0 |          7 |         29 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/models/user.js                                             | JavaScript         |         24 |          0 |          3 |         27 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/next-env.d.ts                                              | TypeScript         |          0 |          5 |          2 |          7 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/next-env.emotion.d.ts                                      | TypeScript         |          0 |         11 |          1 |         12 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/next-i18next.config.js                                     | JavaScript         |          8 |          0 |          2 |         10 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/next.config.js                                             | JavaScript         |        109 |         39 |         21 |        169 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/package.json                                               | JSON               |        161 |          0 |          1 |        162 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/postcss.config.js                                          | JavaScript         |         27 |          4 |          3 |         34 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/public/images/ui/menu/circle-question-solid.svg            | XML                |          1 |          0 |          0 |          1 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/public/images/ui/menu/copyright-solid.svg                  | XML                |          1 |          0 |          0 |          1 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/public/locales/en/app.json                                 | JSON               |         29 |          0 |          1 |         30 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/public/locales/en/common.json                              | JSON               |         19 |          0 |          1 |         20 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/public/locales/en/system.json                              | JSON               |          5 |          0 |          1 |          6 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/public/locales/fr/app.json                                 | JSON               |         29 |          0 |          0 |         29 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/public/locales/fr/common.json                              | JSON               |         19 |          0 |          1 |         20 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/public/locales/fr/system.json                              | JSON               |          5 |          0 |          1 |          6 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/sentry.client.config.js                                    | JavaScript         |          6 |          3 |          3 |         12 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/sentry.properties                                          | Properties         |          5 |          5 |          0 |         10 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/sentry.server.config.js                                    | JavaScript         |          6 |          5 |          3 |         14 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/app-providers.tsx                                      | TypeScript React   |         14 |          0 |          4 |         18 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/backend/auth/checkAcces.ts                             | TypeScript         |         17 |          0 |          3 |         20 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/components/banner.tsx                                  | TypeScript React   |         43 |          0 |          3 |         46 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/components/layout/__tests__/main-layout.test.tsx       | TypeScript React   |         13 |          0 |          2 |         15 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/components/layout/main-layout.style.tsx                | TypeScript React   |        315 |          0 |          2 |        317 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/components/layout/main-layout.tsx                      | TypeScript React   |        155 |          0 |         12 |        167 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/config/site.config.ts                                  | TypeScript         |         12 |          1 |          2 |         15 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/core/config/site- config.utils.ts                      | TypeScript         |          9 |          0 |          3 |         12 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/core/converter/__tests__/legacy-dvd-converter.test.ts  | TypeScript         |         31 |          2 |          3 |         36 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/core/converter/legacy-dvd-converter.ts                 | TypeScript         |        266 |          3 |         18 |        287 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/core/i18n/get-server-side-translations.ts              | TypeScript         |         11 |          5 |          3 |         19 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/core/i18n/i18n-namespaces.type.ts                      | TypeScript         |          4 |          3 |          3 |         10 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/core/types/index.ts                                    | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/core/types/json-type.ts                                | TypeScript         |          7 |          0 |          1 |          8 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/data/credits.data.ts                                   | TypeScript         |        667 |          0 |          2 |        669 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/data/data.types.ts                                     | TypeScript         |         85 |          0 |         11 |         96 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/data/dvd_legacy/dvd.xml                                | XML                |      2,532 |         72 |        299 |      2,903 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/data/media-category.data.ts                            | TypeScript         |         21 |          0 |          2 |         23 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/data/media.data.ts                                     | TypeScript         |      5,017 |          0 |          2 |      5,019 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/data/tags.data.ts                                      | TypeScript         |      1,259 |          0 |          2 |      1,261 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/auth/components/login-form.style.ts           | TypeScript         |        149 |          0 |          8 |        157 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/auth/components/login-form.tsx                | TypeScript React   |        141 |          0 |         10 |        151 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/auth/login-page.style.ts                      | TypeScript         |         13 |          0 |          2 |         15 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/auth/login-page.tsx                           | TypeScript React   |         20 |          0 |          3 |         23 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/auth/login.config.ts                          | TypeScript         |          7 |          0 |          3 |         10 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/credits/credits.config.ts                     | TypeScript         |          7 |          1 |          3 |         11 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/credits/credits.page.style.ts                 | TypeScript         |         85 |          0 |          8 |         93 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/credits/credits.page.tsx                      | TypeScript React   |        195 |          2 |          6 |        203 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/credits/repository/credits.repo.ts            | TypeScript         |         24 |          0 |          4 |         28 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/helpers/components/cred-modal.style.tsx       | TypeScript React   |         43 |          0 |          2 |         45 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/helpers/components/cred-modal.tsx             | TypeScript React   |         63 |          0 |          6 |         69 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/helpers/components/help-modal.style.tsx       | TypeScript React   |         64 |          0 |          2 |         66 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/helpers/components/help-modal.tsx             | TypeScript React   |         20 |          0 |          5 |         25 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/helpers/helpers.style.tsx                     | TypeScript React   |         12 |          0 |          2 |         14 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/helpers/helpers.tsx                           | TypeScript React   |         73 |          1 |          6 |         80 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/home/home.config.ts                           | TypeScript         |          7 |          1 |          3 |         11 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/home/home.page.style.ts                       | TypeScript         |        493 |          0 |         18 |        511 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/home/home.page.tsx                            | TypeScript React   |        174 |         11 |         11 |        196 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/menu/embed/embed-menu.style.ts                | TypeScript         |        231 |          0 |          4 |        235 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/menu/embed/embed-menu.tsx                     | TypeScript React   |        279 |          0 |          5 |        284 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/menu/embed/embed-mobile.style.tsx             | TypeScript React   |         75 |          0 |          2 |         77 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/menu/embed/embed-mobile.tsx                   | TypeScript React   |         36 |          0 |          5 |         41 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/menu/menu-page.style.ts                       | TypeScript         |        463 |          0 |         20 |        483 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/menu/menu.config.ts                           | TypeScript         |         19 |          0 |          3 |         22 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/menu/menu.page.tsx                            | TypeScript React   |        440 |          1 |          9 |        450 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/statics/about.page.tsx                        | TypeScript React   |        161 |          0 |          4 |        165 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/statics/bio.page.tsx                          | TypeScript React   |        139 |          0 |          4 |        143 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/statics/editor.page.tsx                       | TypeScript React   |        563 |          0 |          4 |        567 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/statics/statics.page.style.ts                 | TypeScript         |          4 |          0 |          2 |          6 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/tag-index/components/container-index.style.ts | TypeScript         |         80 |          0 |          4 |         84 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/tag-index/components/container-index.tsx      | TypeScript React   |        469 |          6 |         18 |        493 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/tag-index/components/footer-index.style.ts    | TypeScript         |        240 |          0 |          7 |        247 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/tag-index/components/footer-index.tsx         | TypeScript React   |        512 |          0 |         12 |        524 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/tag-index/components/navbar-index.style.ts    | TypeScript         |         76 |          0 |          4 |         80 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/tag-index/components/navbar-index.tsx         | TypeScript React   |        171 |          0 |          9 |        180 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/tag-index/tag-index.config.ts                 | TypeScript         |          7 |          0 |          3 |         10 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/tag-index/tag-index.page.tsx                  | TypeScript React   |        176 |          0 |         16 |        192 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/tag-index/tag-index.style.ts                  | TypeScript         |         11 |          0 |          2 |         13 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/video/components/video-carrousel.style.ts     | TypeScript         |        159 |          0 |          3 |        162 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/video/components/video-carrousel.tsx          | TypeScript React   |         73 |          0 |          4 |         77 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/video/components/video-footer.style.ts        | TypeScript         |        184 |          0 |          6 |        190 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/video/components/video-footer.tsx             | TypeScript React   |        376 |          0 |         12 |        388 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/video/components/video-navbar.style.ts        | TypeScript         |        129 |          0 |          7 |        136 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/video/components/video-navbar.tsx             | TypeScript React   |        219 |          0 |          6 |        225 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/video/components/video-player.style.ts        | TypeScript         |        208 |          0 |         17 |        225 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/video/components/video-player.tsx             | TypeScript React   |        123 |          1 |         10 |        134 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/video/main-video-page.style.ts                | TypeScript         |        125 |          0 |          5 |        130 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/video/main-video-page.tsx                     | TypeScript React   |        282 |          0 |         11 |        293 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/video/repository/__tests__/media.repo.test.ts | TypeScript         |         63 |          0 |          4 |         67 |
